,mensaje,fecha,sentimiento
0,rt live press briefing with coronavirus task force,03-30-2020 21:13:25,1
1,white house news conference at eastern thank you,03-30-2020 20:50:35,1
3,on nationaldoctorsday we recognize the remarkable men women who treat their fellow americans find cures for the diseases illnesses we face and never waver in their efforts to treat every patient with the dignity respect and empathy they deserve,03-30-2020 17:11:59,1
5,rt live usnscomfort arrives in new york in support of the dod covid response efforts no sound,03-30-2020 16:56:34,0
6,rt president we re all in this together have never seen anything like it,03-30-2020 11:19:36,1
7,rt fema and administration are making sure we have the supplies we need to confront coronavirus https,03-30-2020 11:19:25,1
8,nancy pelosi and the democrats delayed the workers help stimulus bill by over week trying to add real junk into the bill got some bad things having nothing to do with those affected by the virus included republicans need their votes until we win back the house in,03-30-2020 11:17:10,0
9,rt will be interviewed on at usa strong,03-30-2020 11:12:32,1
10,thank you dr hahn the fda for your fast approval of this respected ohio company recommended by governor great potential,03-30-2020 11:07:25,1
11,will be interviewed on at usa strong,03-30-2020 05:15:37,1
12,rt we issued new authorization this evening to for their decontamination system staff have been working non,03-30-2020 04:17:08,1
13,rt thank you and has now given columbus based full approval of the use of ne,03-30-2020 04:17:00,1
16,rt live press briefing with coronavirus task force,03-29-2020 21:44:33,1
17,will be starting the white house news conference at eastern,03-29-2020 20:57:55,1
18,so proud of the and the federal government for the bed hospital they built in days way ahead of schedule in the javits center for ny we are now moving the teams to join others so they can continue to build more hospitals beds keep up the great work,03-29-2020 20:06:35,1
19,thank you very much to ken langone for being great american and for your wonderful comments on,03-29-2020 20:03:36,1
20,am great friend and admirer of the queen the united kingdom it was reported that harry and meghan who left the kingdom would reside permanently in canada now they have left canada for the however the will not pay for their security protection they must pay,03-29-2020 19:00:26,0
21,happy national vietnam war veterans day to all of our vietnam era veterans you have earned our gratitude and thanks by your actions years ago and what you have done since returning home the nation thanks you and your families for your service and sacrifice we love you,03-29-2020 18:10:52,1
22,the cbs news poll said percent of republicans trusted the news media for information about the virus michael grynbaum,03-29-2020 17:49:09,1
23,alone attracted million viewers for the president briefing an astounding number for cable broadcast more akin to the viewership for popular prime time sitcom,03-29-2020 17:48:37,1
24,on monday nearly million people watched mr trump briefing on cnn fox news and msnbc according to nielsen monday night football numbers millions more are watching on abc cbs nbc and online streaming sites and the audience is expanding on monday fox news,03-29-2020 17:48:37,1
25,president trump is ratings hit since reviving the daily white house briefing mr trump and his coronavirus updates have attracted an average audience of million on cable news roughly the viewership of the season finale of the bachelor numbers are continuing to rise,03-29-2020 17:48:36,1
26,because the ratings of my news conferences etc are so high bachelor finale monday night football type numbers according to the the lamestream media is going crazy trump is reaching too many people we must stop him said one lunatic see you at,03-29-2020 17:06:20,0
27,polls are showing tremendous disapproval of lamestream media coverage of the virus crisis the fake news just hasn figured that out yet,03-29-2020 16:53:31,1
28,the lamestream media wants us to fail that will never happen,03-29-2020 16:34:16,0
29,rt with the courage of our doctors and nurses with the skill of our scientists and innovators with the determination of,03-29-2020 16:29:45,1
30,rt this afternoon president will deliver remarks at the naval station norfolk send off for the usnscomfort,03-29-2020 16:26:30,1
31,rt air force one landing in virginia,03-29-2020 16:25:48,1
32,rt to support the hundreds of millions of americans making tremendous sacrifices on the home front president,03-29-2020 16:24:33,1
33,rt our country is at war with an invisible enemy we are marshaling the full power of the american nation the usns comfo,03-29-2020 16:24:19,1
34,rt this great ship behind me is ton message of hope and solidarity to the incredible people of new york presiden,03-29-2020 16:23:57,1
35,rt great advice for america children,03-29-2020 16:23:48,1
36,rt smart that looked at the data accurate projections and nixed the horrid idea of federal quarantine,03-29-2020 16:23:10,0
37,rt the enemy may be invisible but is fighting war against this crisis his leadership is all the more,03-29-2020 16:22:38,0
38,rt pelosi can not get away with rewriting history in january democrats were all consumed with bogus impeachment what,03-29-2020 16:21:53,0
39,hope the fda can approve mask sterilization equipment asap as per governor there is company in ohio which has equipment that can sterilize masks quickly,03-29-2020 16:12:52,1
40,with the tax cuts and new trade deals we were set for tremendous growth rate this year and then the virus came along we were breaking all records especially on employment it will all come roaring back again and fast,03-29-2020 16:07:34,1
41,rt coronavirus in ohio pioneers technology to clean and reuse ppe radio,03-29-2020 15:13:42,1
42,highly recommended by governor of ohio must move quickly,03-29-2020 15:13:26,1
43,rt popefrancis delivers an extraordinary blessing to the city and to the world to pray for an end to the covid coronav,03-29-2020 14:48:35,1
44,rt the firing of andrew mccabe is rare example of someone being held accountable in washington hope the ig issues hi,03-29-2020 14:34:34,1
45,rt albom softball interview with whitmer this past friday am wjr was horrific was not sure what was more disturb,03-29-2020 14:29:27,1
46,will be doing press conference today at the white house people are working harder than have ever seen people work it is beautiful thing to watch,03-29-2020 14:01:57,1
47,rt,03-29-2020 03:30:51,1
48,rt thank you for signing the cares act right away and for your leadership throughout this entire,03-29-2020 03:30:20,1
49,rt the ship behind me is ton msg of hope solidarity to the incredible people of ny we are here for you we are fig,03-29-2020 03:29:08,1
50,rt domestic travel advisory due to extensive community transmission of covid in new york new jersey and connecticut cd,03-29-2020 03:28:17,0
51,federal government quarantine will not be necessary full details will be released by cdc tonight thank you,03-29-2020 00:19:31,1
52,on the recommendation of the white house coronavirus task force and upon consultation with the governor of new york new jersey and connecticut have asked the to issue strong travel advisory to be administered by the governors in consultation with the,03-29-2020 00:19:25,1
53,with the courage of our doctors and nurses with the skill of our scientists and innovators with the determination of the american people and with the grace of god we will win this war when we achieve this victory we will emerge stronger and more united than ever before,03-28-2020 22:30:11,1
54,rt we will stop at nothing to protect the people of our country covid usnavyalwaysthere,03-28-2020 22:24:03,1
55,rt live president at send off for usns comfort,03-28-2020 20:41:41,1
57,am giving consideration to quarantine of developing hot spots new york new jersey and connecticut decision will be made one way or another shortly,03-28-2020 17:31:58,1
58,heading to the great state of virginia now will be there shortly the usnscomfort is loaded to the gills at naval station norfolk departing for new york city this afternoon,03-28-2020 16:56:36,1
59,very often fake news lamestream media should be forced to reveal sources very much as they did in the long ago past if they did that the media would be trusted again and fake news would largely be thing of the past,03-28-2020 14:16:02,0
60,very often fake news lamestream media should be forced to reveal sources very much as they did in the long ago past if they did that the media would be trusted again and fake news would largely be thing if the past,03-28-2020 12:33:30,0
61,one of the reasons that fake news has become so prevalent far reaching is the fact that corrupt journalists base their stories on sources that they make up in order to totally distort narrative or story when you see five sources say don believe the story it is,03-28-2020 12:33:28,0
62,so much of the lamestream media is writing and broadcasting stories with facts that are made up and knowingly wrong they are doing it by quoting unnamed sources that simply do not exist these are very dangerous corrupt people who will do anything to win name your sources,03-28-2020 12:13:36,1
63,thank you james,03-28-2020 04:49:29,1
64,rt awesome to see our team still working hard for stay safe everybody,03-28-2020 04:48:51,1
65,rt president signs coronavirus relief cares act,03-28-2020 04:48:23,1
66,rt today president signed into the law the caresact which will help small businesses stay open help worker,03-28-2020 04:47:53,1
67,rt today president signed the caresactthe single largest economic relief package in history potus has,03-28-2020 04:47:19,1
68,rt president message to young americans you are citizen of the greatest country anywhere in the world we,03-28-2020 04:46:22,1
69,rt they re not happy because is speaking directly to american people during crisis and getting strong,03-28-2020 04:46:11,0
70,rt trump haters clearly frustrated that the american people many of whom did not vote for him approve of the epic job,03-28-2020 04:45:15,1
71,more fake news,03-28-2020 04:40:17,0
72,rt we ve seen the greatest mobilization of industry since world war iipresident is,03-28-2020 04:25:36,1
73,such fake reporting by the others they use small portion of sentence out of full paragraph in order to demean they really are corrupt and disgusting no wonder the media is according to polls record setting low untrusted maga,03-28-2020 04:21:32,0
76,rt my administration is actively planning the next phase in an all out war against this horrible virus,03-28-2020 02:31:23,0
77,rt answering the call it what we do usnsmercy arrives in los angeles in covid response https,03-28-2020 02:30:59,1
78,love michigan one of the reasons we are doing such great job for them during this horrible pandemic yet your governor gretchen half whitmer is way in over her head she doesn have clue likes blaming everyone for her own ineptitude maga,03-28-2020 02:29:57,1
79,love michigan one of the reasons we are doing such great job for them during this horrible pandemic yet your governor gretchen half whitmer is way in over her ahead she doesn have clue likes blaming everyone for her own ineptitude maga,03-28-2020 01:24:32,1
80,she is third rate reporter who has nothing going fake news journalist,03-28-2020 01:05:07,1
81,rt trump the media and governors should appreciate it when they re not appreciative of me they are not appreciative to the army,03-28-2020 00:58:41,1
82,rt how is that any different than what hannity has said neither said anything wrong they did not call coronavirus hoax or scam,03-28-2020 00:56:44,0
83,rt fox business network fires for telling the truth about how liberal media was using coronavirus to take down trump,03-28-2020 00:55:50,1
84,rt can not say enough wonderful things about one of the few conservatives in cable television she great pat,03-28-2020 00:54:50,1
85,we are marshalling the full power of government and society to achieve victory over the virus together we will endure we will prevail and we will win caresact,03-27-2020 21:13:10,1
86,rt help is on the way president just signed the coronavirus aid relief economic security act into law,03-27-2020 20:39:16,1
87,just signed the cares act the single biggest economic relief package in american history twice as large as any relief bill ever enacted at trillion dollars this bill will deliver urgently needed relief for our nation families workers and businesses caresact,03-27-2020 20:34:03,1
88,news conference live from the today eastern,03-27-2020 20:32:53,1
89,thank you to rachel for putting our military on full display and showing how great job the federal government is doing also special thanks to general semonite patriot of the highest order and truly talented engineer and builder,03-27-2020 19:57:36,1
90,news conference live from the today eastern,03-27-2020 19:38:04,1
91,will be signing the care act in the oval office today at eastern,03-27-2020 19:23:51,1
92,rt today usnsmercy arrived to serve as referral hospital for patients not infected with covid handling overflow,03-27-2020 18:33:07,0
93,rt huge thanks to together with the white house apple launched covid screening tool that guides,03-27-2020 17:51:36,1
94,never knew john kerry had such good sense of humor very impressed,03-27-2020 16:16:24,1
95,thousand of federal government delivered ventilators found in new york storage must distribute now,03-27-2020 15:50:15,0
96,will someone please explain to the fake news new york times all the news that not fit to print that the democrats make it almost impossible for us to fill positions within government they maximum delay even the best candidates including judges leaving little time,03-27-2020 15:45:21,0
97,we have just purchased many ventilators from some wonderful companies names and numbers will be announced later today,03-27-2020 15:31:33,1
98,invoke means defense production act,03-27-2020 15:29:32,1
99,general motors must immediately open their stupidly abandoned lordstown plant in ohio or some other plant and start making ventilators now ford get going on ventilators fast,03-27-2020 15:23:53,0
100,as usual with this general motors things just never seem to work out they said they were going to give us much needed ventilators very quickly now they are saying it will only be in late april and they want top dollar always mess with mary invoke,03-27-2020 15:16:07,0
101,thank you byron many polls are much better than this if it is the fake news add points,03-27-2020 14:29:04,1
102,by empowering the radical left democrats do nothing kentucky politician is making their war on the nd amendment more and more difficult to win but don worry we will win anyway he is disaster for america and for the great state of kentucky,03-27-2020 14:13:05,0
103,costly workers small businesses need money now in order to survive virus wasn their fault it is hell dealing with the dems had to give up some stupid things in order to get the big picture done great win back house but throw massie out of republican party,03-27-2020 13:44:50,0
104,looks like third rate grandstander named congressman from unfortunately truly great state kentucky wants to vote against the new save our workers bill in congress he just wants the publicity he can stop it only delay which is both dangerous,03-27-2020 13:44:49,0
105,just finished very good conversation with president xi of china discussed in great detail the coronavirus that is ravaging large parts of our planet china has been through much has developed strong understanding of the virus we are working closely together much respect,03-27-2020 05:19:02,1
106,will be interviewed on at,03-27-2020 01:05:59,1
107,the world is at war with hidden enemy we will win,03-26-2020 23:50:02,1
108,our great oil gas industry is under under seige after having one of the best years in recorded history it will get better than ever as soon as our country starts up again vital that it does for our national security,03-26-2020 23:06:28,0
109,rt thank you to the american people for continuing to practice social distancing by staying home you are saving lives htt,03-26-2020 23:01:08,1
110,rt live press briefing with coronavirus task force,03-26-2020 21:27:44,1
111,will be going out in minutes for the press conference,03-26-2020 20:57:15,1
112,rt even though we re apart we can come together openingdayathome,03-26-2020 20:50:30,1
113,will be doing news conference live from the at eastern to discuss the mtg of the leaders that took place this morning at by world teleconference also my teleconference call governors plus territories will be discussed,03-26-2020 15:36:38,1
114,in the united states senate congratulations america,03-26-2020 04:48:58,1
116,have been packed all day with meetings have no time for stupidity we re working around the clock to keep america safe,03-25-2020 21:41:27,0
117,hear that fake news cnn just reported that am isolated in the white house wondering out loud when will life return to normal does anybody really believe that there was no leak they made it up they are corrupt fake news,03-25-2020 21:41:26,0
