,negativo,positivo,Total
aaa,0,5,5
ab,0,1,1
abaco,1,0,1
abandon,5,4,9
abandoned,10,3,13
abaondon,0,1,1
abbas,0,3,3
abbott,2,1,3
abc,28,23,51
abcwashington,1,0,1
abdeslam,1,0,1
abdicate,0,1,1
abdo,0,1,1
abducted,0,1,1
abdul,0,1,1
abdullah,0,2,2
abe,3,37,40
abedin,2,3,5
aberdeen,2,3,5
abiding,1,5,6
ability,10,13,23
abingdon,0,1,1
abiy,0,1,1
abject,2,1,3
ablaze,0,1,1
able,59,65,124
abo,1,2,3
aboard,4,6,10
abolish,18,9,27
abolishice,1,0,1
abolishing,2,1,3
abortion,5,8,13
abortionimmigration,1,0,1
abou,1,4,5
abound,0,1,1
abraham,2,8,10
abrams,0,2,2
abramson,0,2,2
abroad,2,3,5
abrupt,0,1,1
abruptly,3,1,4
absentee,3,6,9
absolute,13,21,34
absoluteicon,0,1,1
absolutely,42,88,130
absurd,1,3,4
abt,2,5,7
abu,2,6,8
abundance,0,2,2
abundant,1,0,1
abuse,54,37,91
abused,7,5,12
abuses,4,8,12
abusing,4,3,7
abusive,2,1,3
abuts,0,1,1
abuzz,0,1,1
abysmal,1,0,1
ac,1,3,4
academia,0,1,1
academy,1,7,8
accelerate,0,2,2
accelerated,1,0,1
accentuate,0,1,1
accept,14,9,23
acceptable,15,2,17
acceptance,0,4,4
accepted,5,10,15
accepting,0,12,12
accepts,1,0,1
access,21,22,43
accessed,1,0,1
accessibility,0,2,2
accessibl,0,1,1
accessible,2,0,2
accessory,0,1,1
accident,10,3,13
accidentally,1,2,3
accidents,1,0,1
accolade,0,1,1
accommodations,1,1,2
accompanie,0,1,1
accompanied,0,1,1
accomplish,1,10,11
accomplished,6,36,42
accomplishing,0,5,5
accomplishment,0,4,4
accomplishments,8,18,26
accord,1,7,8
accordance,0,1,1
according,28,21,49
accordingly,0,2,2
account,19,22,41
accountabi,0,1,1
accountability,2,14,16
accountable,6,10,16
accounted,1,1,2
accounts,3,9,12
accumulate,1,0,1
accumulated,4,1,5
accumulation,1,1,2
accuracy,2,2,4
accurate,6,18,24
accurately,6,7,13
accus,0,1,1
accusation,2,2,4
accusations,9,4,13
accuse,8,9,17
accused,10,6,16
accuses,2,5,7
accusing,5,1,6
acdinne,0,1,1
aced,0,1,1
achieve,1,16,17
achieved,7,9,16
achievement,4,12,16
achievements,1,7,8
achievers,0,3,3
achieving,2,4,6
acid,10,2,12
acing,0,1,1
acknowledge,2,10,12
acknowledged,1,4,5
acknowledges,0,1,1
acknowledging,1,6,7
acknowledgment,0,1,1
aclu,0,1,1
aclus,0,1,1
acosta,2,1,3
acqui,0,1,1
acquire,2,1,3
acquiring,0,2,2
acquisition,1,0,1
acquisitions,0,1,1
acquit,1,2,3
acquittal,0,1,1
acquitted,1,4,5
acquittedforeve,0,2,2
acre,0,2,2
acres,1,8,9
acros,1,1,2
act,91,140,231
acted,6,8,14
acting,27,32,59
actingmeek,1,0,1
action,55,98,153
actions,20,26,46
activated,1,1,2
active,3,8,11
activeduty,0,1,1
actively,4,0,4
activism,2,0,2
activist,0,6,6
activists,3,7,10
activitie,0,1,1
activities,4,10,14
activity,5,3,8
acto,0,4,4
actors,3,5,8
actress,1,1,2
actresses,1,0,1
acts,6,17,23
actua,0,1,1
actual,8,9,17
actuality,1,2,3
actualizaciones,0,1,1
actuall,0,1,1
actually,69,105,174
acu,0,1,1
ad,22,38,60
ada,0,1,1
adam,89,109,198
adamant,1,0,1
adams,1,11,12
adamschiff,2,0,2
adapting,0,1,1
add,8,35,43
added,18,25,43
addict,0,1,1
addicted,1,3,4
addiction,1,6,7
addictive,1,0,1
adding,1,12,13
addit,1,1,2
addition,10,25,35
additional,30,33,63
additionally,5,7,12
additions,2,0,2
address,16,64,80
addressed,0,3,3
addresses,3,2,5
addressing,0,6,6
addressjoin,0,1,1
adds,4,5,9
adelson,0,2,2
adept,0,5,5
adequately,0,1,1
adherent,0,1,1
adhering,1,0,1
adios,0,2,2
adiosamerica,0,2,2
adjacent,0,1,1
adjourn,1,1,2
adjourns,1,0,1
adjusted,0,2,2
adjusting,0,2,2
adjustment,1,0,1
adm,0,2,2
admi,0,1,1
admin,13,17,30
admini,1,0,1
adminis,1,0,1
administe,1,0,1
administered,0,1,1
administrating,0,1,1
administration,150,214,364
administrations,13,9,22
administrato,0,4,4
admins,1,0,1
adminstration,0,1,1
admirable,0,3,3
admirably,0,1,1
admiral,3,15,18
admirals,1,2,3
admiration,0,1,1
admire,2,11,13
admired,0,1,1
admissibility,0,1,1
admission,1,5,6
admissions,0,1,1
admit,13,15,28
admits,10,15,25
admitted,22,18,40
admitting,5,8,13
admonished,2,0,2
adolph,0,1,1
adopt,0,2,2
adopted,1,2,3
adopting,0,1,1
adoption,0,2,2
adorable,0,3,3
adore,0,3,3
adp,0,2,2
adrian,0,2,2
adriana,0,1,1
adrienne,0,1,1
ads,50,25,75
adult,4,6,10
adults,2,8,10
adv,0,1,1
advance,3,13,16
advanced,3,8,11
advancement,0,1,1
advancements,0,1,1
advances,0,1,1
advancing,1,4,5
advantage,23,27,50
advantages,0,2,2
advantagesma,1,0,1
advent,0,1,1
adventure,0,1,1
adversaries,1,1,2
adversary,1,1,2
adverse,0,1,1
adversely,0,1,1
advertisement,1,0,1
advertisers,1,0,1
advertising,9,6,15
advice,12,27,39
advise,4,13,17
advised,3,2,5
advisement,0,1,1
advisers,2,2,4
advising,0,1,1
adviso,2,24,26
advisories,0,1,1
advisors,2,2,4
advisory,3,11,14
advocacy,0,1,1
advocate,3,17,20
advocated,1,1,2
advocates,0,1,1
advocating,2,2,4
aerial,0,2,2
aerospace,0,2,2
aesop,0,1,1
aetna,2,0,2
af,0,2,2
afa,0,1,1
afbf,0,4,4
affai,1,1,2
affairs,2,9,11
affect,1,2,3
affected,22,12,34
affecting,1,0,1
affection,0,1,1
affects,3,1,4
affh,1,0,1
affiliate,0,1,1
affiliated,0,1,1
affirmative,0,3,3
affirmatively,0,1,1
affirmed,1,0,1
affirming,0,1,1
afflicting,0,1,1
affliction,1,0,1
afford,5,0,5
affordab,1,0,1
affordable,6,7,13
afforded,0,1,1
affront,0,1,1
afghan,1,3,4
afghanistan,16,9,25
afghans,1,0,1
afghanstrategy,0,1,1
afl,2,1,3
afrai,1,0,1
afraid,23,14,37
africa,2,5,7
african,23,58,81
africanamerican,1,0,1
africanamericanhistorymonth,0,1,1
aft,1,1,2
afte,308,382,690
aftermath,1,1,2
afternoon,2,68,70
afternoons,0,2,2
afterward,1,0,1
ag,16,26,42
aga,0,2,2
agai,1,0,1
againeverybody,1,0,1
againso,1,0,1
againt,1,0,1
agata,0,2,2
age,6,19,25
agen,0,2,2
agencies,8,16,24
agency,3,10,13
agend,0,1,1
agenda,23,112,135
agendas,0,1,1
agent,16,28,44
agents,16,33,49
ages,1,2,3
aggr,0,1,1
aggravated,1,0,1
aggravation,0,1,1
aggression,1,0,1
aggressive,1,5,6
aggressively,0,1,1
aggresso,1,0,1
aggrieved,0,1,1
aghast,0,2,2
agitators,5,3,8
agnes,0,2,2
agnstt,0,1,1
ago,96,97,193
agony,4,0,4
agreatcause,0,1,1
agree,41,157,198
agreed,20,67,87
agreeing,3,5,8
agreemen,0,1,1
agreement,26,63,89
agreements,2,8,10
agreepray,0,1,1
agrees,4,18,22
agricultural,9,18,27
agriculture,1,13,14
agrmt,0,1,1
ags,1,1,2
agt,0,1,1
ah,0,2,2
ahca,0,1,1
ahead,37,72,109
ahhh,1,0,1
ahhhh,0,1,1
ahhhhhh,0,1,1
ahic,0,1,1
ahmad,0,1,1
ahmari,0,1,1
ahmed,0,2,2
ahmedabad,0,1,1
ahya,0,1,1
ai,28,84,112
aid,47,31,78
aide,1,4,5
aided,0,2,2
aides,2,6,8
aiding,0,1,1
aids,1,5,6
aig,1,0,1
aiingovsummit,0,1,1
ailes,5,2,7
ails,0,1,1
ailsa,0,6,6
aim,1,0,1
aimed,1,2,3
aiming,2,1,3
aims,0,1,1
ain,4,1,5
ainsley,0,1,1
aipac,0,1,1
airborne,0,1,1
airbridge,0,2,2
airbus,1,1,2
aircraft,1,6,7
aircrew,0,1,1
aircrews,0,1,1
aired,2,7,9
aires,0,1,1
airforce,0,1,1
airhes,1,0,1
airing,1,5,6
airline,2,2,4
